timestamp,value,5s_change,1m_change,10m_change,1h_change,3h_change,6h_change
2025-06-12 19:59:25,51.15,,,-32.68%,20.11%,50.12%,-1.75%
2025-06-12 20:00:11,51.13,,,27.85%,-11.39%,40.01%,-33.73%
2025-06-12 20:01:23,51.11,,,-23.86%,22.32%,9.11%,34.72%
2025-06-12 20:02:05,51.09,,,-37.11%,29.6%,31.57%,-0.89%
2025-06-12 20:03:14,51.07,,,6.8%,-48%,43.01%,-39.23%
2025-06-12 20:04:26,51.05,,,-9.46%,28.05%,-11.78%,3.78%
2025-06-12 20:05:07,51.09,,,38.31%,-6.32%,-41.65%,39.01%
2025-06-12 20:06:15,51.15,,,-21.08%,51.05%,34.35%,-37.97%
2025-06-12 20:07:23,51.17,,,24.09%,34.7%,-21.82%,40.88%
2025-06-12 20:08:13,51.22,,,-29%,-4.08%,8.19%,4.15%
2025-06-12 20:09:17,51.26,,,-34.15%,-7.81%,-31.44%,29.22%
2025-06-12 20:10:03,51.31,,,6.82%,-40.5%,37.35%,-3.64%
2025-06-12 20:11:11,51.36,,,-29.26%,40.85%,-42.72%,-11.77%
2025-06-12 20:12:19,51.39,,,29.94%,-34.2%,35.63%,-24.62%
2025-06-13 04:57:11,51.7,,,15.5%,42.45%,-19.93%,9.08%
2025-06-13 04:58:15,51.74,,,-22.83%,-21.49%,-38.67%,28.06%
2025-06-13 04:59:22,51.78,,,-36.07%,-39.25%,9.94%,46.51%
2025-06-13 05:00:30,51.82,,,-13.54%,-34.59%,-7.04%,7.94%
2025-06-13 05:01:16,51.8,,,46.8%,51.21%,44.52%,27.23%
2025-06-13 05:02:23,51.78,,,47.41%,30.81%,15.56%,3.28%
2025-06-13 05:03:12,51.76,,,-25.51%,-33.77%,6.29%,-13.26%
2025-06-13 05:04:15,51.74,,,9.38%,-11.24%,-45.35%,-46.05%
2025-06-13 05:05:23,51.72,,,-42%,19.76%,33.76%,29.22%
2025-06-13 05:06:09,51.7,,,-21.33%,-45.86%,-41.57%,0.18%
2025-06-13 05:07:16,51.68,,,-45.89%,-16.44%,19.01%,-2.38%
2025-06-13 05:08:25,51.66,,,0.77%,51.31%,-47.86%,47.53%
2025-06-13 05:09:10,51.64,,,50.24%,13.51%,46.14%,34.66%
2025-06-13 05:10:18,51.62,,,-2.53%,-4.18%,-26.86%,-17.39%
2025-06-13 05:11:04,51.6,,,-25.75%,41.59%,-33.23%,-21.46%
2025-06-13 05:12:13,51.58,,,-15.78%,6.78%,-15.56%,23.71%
2025-06-13 05:13:20,51.56,,,11.27%,-29.86%,5.57%,-6.85%
2025-06-13 05:14:06,51.54,,,27.49%,-45.86%,-30.8%,31.68%
2025-06-13 05:15:13,51.52,,,-47.49%,30.25%,-17.62%,-46.11%
2025-06-13 05:16:21,51.56,,,-7.41%,35.64%,-39.21%,-3.07%
2025-06-13 05:17:10,51.59,,,-19.19%,26.04%,9.22%,-25.33%
2025-06-13 05:18:13,51.62,,,17.69%,-10.15%,25.57%,-41.03%
2025-06-13 05:19:21,51.67,,,-25.26%,1.41%,-10.94%,32.37%
2025-06-13 05:20:07,51.69,,,-38.15%,-28.89%,-4.17%,-27.88%
2025-06-13 05:27:32,51.95,,,30.87%,-17.64%,12.61%,-41.63%
2025-06-13 05:28:13,51.99,,,50.5%,-37.76%,26.25%,-13.93%
2025-06-13 05:29:21,52.03,,,32.55%,17.32%,25.6%,-42.23%
2025-06-13 05:30:08,52.01,,,-13.86%,28.32%,19.89%,4.33%
2025-06-13 05:31:16,51.99,,,40.37%,0.43%,-35.92%,-5.52%
2025-06-13 05:32:21,51.97,,,-6.6%,-42.87%,49.19%,-40.34%
2025-06-13 05:33:07,51.95,,,46.07%,41.69%,-24.26%,36.44%
2025-06-13 05:34:14,51.93,,,-36.06%,-43.44%,36.12%,-31.14%
